id,post_text
1,Agr koi bnda Anjan age mein hand practice kr betha ho jis ki wja se azu tnasul tera kmzor aur timing khatm ho ghai ho to kia eska koi mustkil ilaj hy.
2,Rozana arraction hoti ha boht zada phir khud hi hath use ho jata ha aik bar b ni 2se 3 bar ho jta mj se control ni rhta Kya hal ha is ka pls koi experience Wala bnda guide kry
3,اسلام علیکم بھائیوں پانچ ماہ کا چیلنج ٹوٹنے کے بعد دوسرا چھ گھنٹے بعد ٹوٹا اب الحمدللہ آٹھ دن ہوگیا ہے چیلنج کو پر جب چیلنج ٹوٹا تھا تب فریش محسوس ہورہا تھا پر اب صبح اور رات میں شدید سٹریس ہوتا ہے کسی سے بات کرنے کو دل نہیں کرتا اوور تھنکنگ اور ہلکی گھبراہٹ بھی ہورہی ہے اور شہوت بلکل ختم ہوگئی ہے ریکوری کب ہوگی اور فلیٹ لائن کب ختم ہوگی
4,"آلسلام علیکم۔
الحمداللہ 85 دن مکمل۔
میں صرف سادہ خوراک مطلب بس روٹی
کھاتا ہوں۔
خوراک کے حوالے سے راہنمای کی گزارش ہے۔
تھوڑے سے تھوڑے بجٹ کی مقدار
 میں مشورہ دیجیۓ گا۔
مجھے گھبراہٹ اور خوف بھی لگا رہتا ہے۔
 جسم اور ٹانگیں کانپتی ہیں۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔ See less"
5,Bhaiyo meri shadi november may hai may nay chanllenge bhi chal raha hai 80 days hogiya ruuning bhi karta ho likn mujay suhaag raat ka buhat dar hai meri timming buhta kam hai may nay diffrent girls kay sath check kiya hai.may nay suna hai shadi kay bad ye tek hojata hai likn mujay suhaag raat ka tention hai kay jaldi parigh hojaonga.iska koi hal batadya pelase buhat pareshan ho sharmendagi say bachna chahta ho.admin please approve
6,"اسلام علیکم  دوستو میں بہت پریشان ہوں  دل ٹوٹ کے ریزہ ریزہ ہوگیا ہے  کئی بار میں نے اللّه سے توبہ کر کے  اس گندی لت کو چھوڑنے کی کوشش کی ہوں مگر ناکام رہا ابھی تک  زیادہ سے زیادہ 7  دن  کنٹرول کرتا ہوں  ایک بار  25 دن تک نہیں کیا  ابھی  ہر 2 دن میں کرتا ہوں نفس  بھی بہت پتلا ہو چکا ہے  بہت پریشان ہوں  اللّه کی قسم  کوئی ایسی صورتحال بتادو  جس  کی وجہ سے میں اس گندی حرکت سے چھٹکارا حاصل کر سکوں   شادی کرنے سے بھی ڈرتا ہوں کیونکہ میرا نفس  بہت پتلا  ہو چکا ہے ۔
 See less"
7,السلام علیکم ال گروپ ممبرز کیا حال چال ہیں ٹھیک ٹھاک ہو اج ایک ٹوپک پہ بات میں نے کرنی ہے ماسٹربیشن بھی کہا جاتا ہے اج میرے چیلنج کو الحمدللہ الحمدللہ 180 دن مکمل ہو چکے ہیں ٹھیک ہے یہ چیلنج مکمل کرنے کے لیے مجھے تھوڑا سا نقصان بھی ہوا ہے نقصان اس بات کا ہوا ہے کہ میری طبیعت بھی خراب رہتی رہی ہے بہت کچھ ہوا ہے لیکن الحمدللہ لاکھ لاکھ شکر ہے یہ گروپ ایڈمن بھائی اور اس کے موڈینیٹرز جو جتنے بھی ہیں اس کا سبقت ہے دل سے شکر گزار ہوں کہ جنہوں نے ہمت دی اس گروپ کو بنایا پہلے بھی میں بہت ساری عزت کرتا لیکن جیسا ہے طبیعت بھی خراب ہو جاتی تھی جس وجہ سے نیچے پوسٹ نہیں میں کر سکتا تھا لیکن کمنٹ میں پڑھتا تھا کمنٹ میں کرتا تھا ابھی الحمدللہ 180 دن کا چیلنج میرا اج کمپلیٹ ہو چکا ہے 180 دن کے چیلنج کے اندر میں نے تھوڑا سا نقصان بھی اٹھایا اپنی طبیعت کا بھی کیا ہے اس کے بعد میں نے کچھ فائدہ بھی حاصل کیا ہے فائدہ یہ ہوا ہے کہ جب تقریبا 12 سال سے مشت زنی کے نا 10 میں تھا تو جیسے ہی پہلے چھ ایک مہینے کا باقی ہے ٹھیک ہے اس کے بعد پھر میں نے ایک مہینے کا چینل سٹارٹ کیا نہیں ہوا رمضان کے اندر سٹارٹ کیا تھا اور اب تک الحمدللہ رمضان سے پہلے کا سٹارٹ ہے رمضان کے اندر نہیں رمضان کے پہلے کا سٹارٹ ہوا ہوا ہے الحمدللہ اور یہ ساری کامیابی مجھے ملی ہے ان گروپ ایڈ منتھ کی وجہ سے ٹھیک اللہ پاک ان کی لمبی زندگی دے فائدہ یہ ہوا ہے کہ میرے چینل پہ پہلے اس کے بعد پھر میں نے ایک مہینے کا چینل سٹارٹ کیا نہیں ہوا رمضان کے اندر سٹارٹ کیا تھا اور اب تک الحمدللہ رمضان سے پہلے کا سٹارٹ ہے رمضان کے اندر نہیں رمضان کے پہلے کا سٹارٹ ہوا ہوا ہے الحمدللہ اور یہ ساری کامیابی مجھے ملی ہے ان گروپ ایڈ منتھ کی وجہ سے ٹھیک اللہ پاک ان کی لمبی زندگی دے فائدہ یہ ہوا ہے کہ میرے میرے چہرے پر جیسے دھبے دبے بلیک بلیک سے دھبے یہ ہو گئے تھے اس کے بعد چیلنج سٹارٹ کی ہے الحمدللہ چہرہ بھی کافی بہتر ہو چکا ہے اس کے علاوہ اللہ پاک نے شکر ادا کیا اللہ پاک نے امامت بھی دے دی ہے اور پانچ وقت کا نمازی الحمدللہ میں اج درود پاک ہے مرضی میں نے نہیں کی ٹھیک ہے کوئی ایسا ویسا نہیں کام کیا کہ جس وجہ سے ہو لیکن اس میں ورزش بھی ضروری تھی لیکن الحمدللہ الحمدللہ ورزشنی میں نے کی بغیر ورزش کے میں اج اس کام میں ابھی تک پہنچ چکا ہوں تصویر میں شیئر نہیں کر سکتا جس وجہ سے میں تصویر نہیں لگا رہا صرف ایک پوسٹ کر رہا ہوں اس کے علاوہ یہ جتنے بھی گروپ ایڈمنز ہیں موڈیڈیٹر بھائی ہیں ان کا تہذیل سے پھر سے میں دل سے شکریہ ادا کرتا ہوں انہوں نے یہ گروپ بنایا اور ہماری پیاری امت مسلمہ جونسی ہے حضور پاک صلی اللہ علیہ وسلم کی امت ہے اس کو سیدھے راستے پہ لانے کے لیے جدوجہد کر رہے ہیں اللہ ان کی جدوجہد ان کی جدوجہد کو اور پختہ کرے اور ان کو ہر وہ کام یہ بھی عطا کرے جو حضور پاک صلی اللہ علیہ وسلم کی امت کو سیدھے راستے پہ لگا رہے ہیں See less
8,"*Assalam o Alaikum Doctors*
*Age/Sex/Weight:* 22 سال / Male / 50kg  
*Location:* Mardan
*Main Symptoms - 1 مہینے سے:*
1. *شدید سستی/تھکاوٹ* - صبح اٹھ کر بھی فریش نہیں ہوتا۔ تھوڑا کام کر کے ہانپ جاتا ہوں
2. *پٹھوں اور ہڈیوں میں درد* - پورے جسم کی ہڈیاں + پٹھے درد کرتے ہیں۔ ایسے لگتا ہے جیسے بخار ہو
3. *سر بھاری لگنا* - دماغ پر وزن محسوس ہوتا ہے، دھندلا سا رہتا ہے
4. *یادداشت کمزور* - باتیں بھول جاتا ہوں، فوکس نہیں رہتا
*Tests Already Done - 11 June 2026 DHQ Mardan:*
1. *CBC* - HGB 14.2, WBC 5.7, PLT 170 - Normal. RDWSD 47.9H, PDW 17.7H High  
2. *Urine RE* - Normal
3. *RFT* - Creatinine 1.0, http://B.Urea 30 - Normal  
4. *LFT* - ALT 46 - Normal
5. *P.Smear* - Normal, MP Not seen
*Current Medicines:*
Sulvorid 100mg رات کو + Vitamin D3 ٹیبلٹ
*Question:* 
22 سال، 50kg وزن ہے۔ CBC وغیرہ نارمل ہیں۔ ڈاکٹر نے B12, TSH, Vitamin D3, Uric Acid ٹیسٹ لکھے ہیں۔ 
پٹھوں + ہڈیوں کا درد، سستی، سر بھاری - کیا Vitamin D3 یا B12 کی کمی سے ہو سکتا ہے؟ مزید کیا چیک کرواؤں؟
جزاک اللہ See less"
9,زاتی تجربہ شیئر کررہا ہوں گروپ میں جتنا خود کو مصروف رکھو گے اتنا ہی پورن اور مشت زنی سے دور ہوگے خود کو اچھے کاموں میں مصروف رکھو اس گندگی سے نجات پاؤ گے پہلے میں ہر ہفتے میں تین چار بار مشت زنی کرتا تھا لیکن اب اپنے آپ کو مصروف رکھا ہے الحمدللہ چیلینج کا 17 واں دن چل رہا ہے
10,Alhamdulillah that's is a big achievement for me .
